STATE/UT,DISTRICT,Year,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,Total,Latitude,Longitude
GUJARAT,NAVSARI,2001,2,5,0,6,0,17,0,30,20.86697332,72.8618487
GUJARAT,PALANPUR,2001,18,35,2,50,2,152,0,259,24.1741,72.4331
GUJARAT,PANCHMAHAL,2001,5,46,0,1,23,43,0,118,22.80435607,73.61984598
GUJARAT,PATAN,2001,3,21,0,23,0,78,0,125,23.80634198,71.75162977
GUJARAT,PORBANDAR,2001,6,5,0,10,0,64,0,85,21.55092352,69.71896988
GUJARAT,RAJKOT COMMR.,2001,5,38,3,19,12,199,0,276,,
GUJARAT,RAJKOT RURAL,2001,20,35,2,45,3,206,0,311,22.40603378,70.83679439
GUJARAT,SURAT COMMR.,2001,11,37,20,10,1,132,0,211,,
GUJARAT,SURAT RURAL,2001,26,16,0,11,0,34,0,87,21.25761373,72.93488716
GUJARAT,SURENDRANAGAR,2001,11,24,2,45,3,75,0,160,22.82672007,71.48358741
GUJARAT,VADODARA COMMR.,2001,3,32,0,11,10,90,0,146,,
GUJARAT,VADODARA RURAL,2001,18,34,0,34,0,81,0,167,22.26133739,73.4943301
GUJARAT,VALSAD,2001,9,11,0,10,0,50,0,80,20.44238232,72.91485848
GUJARAT,W.RLY,2001,1,0,0,7,0,7,0,15,,
HARYANA,AMBALA,2001,11,32,11,27,0,132,0,213,30.35036723,76.94970311
HARYANA,BHIWANI,2001,10,7,33,17,0,43,0,110,28.72886806,76.02110226
HARYANA,FARIDABAD,2001,37,53,19,47,242,108,0,506,28.1487311,77.32718537
HARYANA,FATEHABAD,2001,17,13,17,17,0,93,0,157,29.57298319,75.54608717
HARYANA,GRP,2001,0,2,5,1,26,0,0,34,,
HARYANA,GURGAON,2001,32,32,17,21,21,136,0,259,28.04389479,77.0193513
HARYANA,HISSAR,2001,10,18,24,33,0,117,0,202,29.23628731,75.84324683
HARYANA,JHAJJAR,2001,21,8,20,42,13,122,0,226,28.59651868,76.61137143
HARYANA,JIND,2001,21,8,11,22,29,67,0,158,29.45149822,76.29598576
HARYANA,KAITHAL,2001,16,8,9,19,0,105,0,157,29.96068539,76.3769893
HARYANA,KARNAL,2001,44,10,18,28,2,97,0,199,29.70320065,76.87488026
HARYANA,KURUKSHETRA,2001,31,14,10,28,8,68,0,159,30.0565266,76.7877468
HARYANA,MAHENDRAGARH,2001,11,8,8,19,0,23,0,69,28.13521615,76.14018073
HARYANA,PANCHKULA,2001,6,15,4,23,10,43,0,101,30.70089714,76.97173238
HARYANA,PANIPAT,2001,38,10,11,16,11,92,0,178,29.34352134,76.92895915
HARYANA,REWARI,2001,11,11,12,17,0,14,0,65,28.19164715,76.55956008
HARYANA,ROHTAK,2001,28,6,17,26,20,41,0,138,28.89251765,76.53123235
HARYANA,SIRSA,2001,17,7,12,23,0,98,0,157,29.63583446,74.9097048
HARYANA,SONIPAT,2001,15,12,18,22,14,51,0,132,29.05805708,76.8558708
HARYANA,YAMUNANAGAR,2001,22,23,9,30,5,63,0,152,30.26466183,77.31652822
HIMACHAL PRADESH,CHAMBA,2001,12,15,0,23,1,21,0,72,32.66741815,76.39354063
HIMACHAL PRADESH,HAMIRPUR,2001,3,3,1,17,2,33,0,59,31.67668481,76.49767089
UTTAR PRADESH,HAMIRPUR,2001,14,16,22,32,7,25,0,116,31.67668481,76.49767089
HIMACHAL PRADESH,KANGRA,2001,18,21,1,43,0,58,0,141,32.14093603,76.41205911
HIMACHAL PRADESH,KINNAUR,2001,6,3,0,4,0,2,0,15,31.60667184,78.51613736
HIMACHAL PRADESH,KULLU,2001,13,6,0,12,0,2,0,33,31.90911922,77.40922649
HIMACHAL PRADESH,LAHAUL-SPITI,2001,2,1,0,0,0,1,0,4,32.51717031,77.62470977
HIMACHAL PRADESH,MANDI,2001,16,10,0,59,4,56,0,145,31.63580594,76.96556931
HIMACHAL PRADESH,SHIMLA,2001,18,11,2,50,1,31,0,113,31.15572545,77.62573042
HIMACHAL PRADESH,SIRMAUR,2001,10,11,3,33,4,22,0,83,30.68276445,77.4318469
HIMACHAL PRADESH,SOLAN,2001,12,10,2,23,1,24,0,72,31.03864312,76.94442141
HIMACHAL PRADESH,UNA,2001,9,5,0,11,0,20,0,45,31.58330388,76.18353932
JAMMU & KASHMIR,ANANTNAG,2001,6,36,0,53,12,0,0,107,33.7297,75.1497
JAMMU & KASHMIR,AWANTIPORA,2001,1,13,0,8,2,0,0,24,33.9177,75.0177
JAMMU & KASHMIR,BARAMULLA,2001,28,59,0,93,14,0,0,194,34.2021,74.3482
JAMMU & KASHMIR,BORDER,2001,12,10,0,15,5,3,0,45,,
JAMMU & KASHMIR,BUDGAM,2001,7,34,0,35,9,0,0,85,33.93258113,74.79798113
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,,
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,0,,
JAMMU & KASHMIR,DODA,2001,7,15,0,6,2,1,0,31,33.35961468,76.0716372
JAMMU & KASHMIR,GANDERBAL,2001,5,31,0,30,4,0,0,70,34.216496,74.771942
JAMMU & KASHMIR,JAMMU,2001,13,43,5,40,94,26,0,221,32.7131991,74.84775204
JAMMU & KASHMIR,KARGIL,2001,0,1,0,1,0,0,0,2,33.56599489,76.63675315
JAMMU & KASHMIR,KATHUA,2001,13,10,3,14,4,1,0,45,32.51781678,75.58901399
JAMMU & KASHMIR,KULGAM,2001,6,31,0,7,11,0,0,55,33.6451329,75.0184944
JAMMU & KASHMIR,KUPWARA,2001,6,29,0,62,2,0,0,99,34.59923474,74.21587684
JAMMU & KASHMIR,LEH,2001,0,1,0,1,0,0,0,2,33.5857922,78.30725928
JAMMU & KASHMIR,POONCH,2001,13,10,0,4,6,2,0,35,33.79124129,74.29593161
JAMMU & KASHMIR,PULWAMA,2001,7,33,0,19,12,0,0,71,33.88414419,75.0092186
JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0,0,,
KARNATAKA,RAILWAYS,2001,1,0,1,0,0,0,0,2,,
KERALA,RAILWAYS,2001,1,0,0,0,0,0,0,1,,
JAMMU & KASHMIR,RAJOURI,2001,17,20,3,7,6,6,0,59,33.27232199,74.40776879
JAMMU & KASHMIR,RAMBAN,2001,3,3,0,3,2,0,0,11,33.2421,75.2336
JAMMU & KASHMIR,REASI,2001,7,9,0,5,4,0,0,25,33.0828,74.8333
JAMMU & KASHMIR,SRINAGAR,2001,8,102,0,207,88,2,0,407,34.27312899,75.11021159
JAMMU & KASHMIR,UDHAMPUR,2001,10,14,2,12,11,9,0,58,33.04770671,75.15286951
JHARKHAND,BOKARO,2001,26,32,25,24,2,45,0,154,23.6814965,85.98398374
JHARKHAND,CHAIBASA,2001,32,10,0,6,0,0,0,48,22.5474,85.8025
JHARKHAND,CHATRA,2001,6,3,7,0,0,6,0,22,24.11619946,84.93295805
JHARKHAND,DEOGHAR,2001,22,0,10,13,1,10,0,56,24.33070101,86.75697632
JHARKHAND,DHANBAD,2001,32,45,30,47,0,18,0,172,23.85450909,86.40372925
JHARKHAND,DHANBAD RLY.,2001,2,0,0,0,0,0,0,2,23.795399,86.42704
JHARKHAND,DUMKA,2001,27,0,3,20,0,23,0,73,24.27500613,87.2766245
JHARKHAND,GARHWA,2001,11,2,15,0,0,5,0,33,24.08211469,83.68664266
JHARKHAND,GIRIDIH,2001,42,10,30,13,0,57,0,152,24.3057851,86.08710916
JHARKHAND,GODDA,2001,37,26,1,0,0,0,0,64,24.8189,87.29417355
JHARKHAND,GUMLA,2001,29,11,0,2,0,10,1,53,23.07853295,84.55056787
JHARKHAND,HAZARIBAGH,2001,41,31,31,15,0,18,0,136,23.94324197,85.49441312
JHARKHAND,JAMSHEDPUR,2001,50,51,6,58,0,88,0,253,22.8046,86.2029
JHARKHAND,JAMSHEDPUR RLY.,2001,1,0,0,1,0,0,0,2,22.805618,86.20311
JHARKHAND,JAMTARA,2001,18,11,5,13,0,20,0,67,23.97873318,86.9532508
JHARKHAND,KODERMA,2001,2,2,11,8,1,29,0,53,24.55671943,85.71690919
JHARKHAND,LATEHAR,2001,12,2,6,0,0,0,0,20,23.72511186,84.48298743
JHARKHAND,LOHARDAGGA,2001,12,8,0,4,0,10,0,34,23.48879604,84.66051691
JHARKHAND,PAKUR,2001,23,0,7,0,0,18,0,48,24.57260428,87.69691969
JHARKHAND,PALAMU,2001,15,2,18,8,0,28,1,72,24.19692597,84.20310843
JHARKHAND,RANCHI,2001,73,1,4,24,1,78,0,181,23.18423506,85.31781937
